# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model
# start_datetime = 2022-12-26 19:45:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/andrew/Library/R/arm64/4.2/library/CmdStanHeaders/examples/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1461824762 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = --O0
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.12279
# Diagonal elements of inverse mass matrix:
# 0.459917
-7.02981,1,1.12279,1,1,0,9.19168,0.350624
-7.5847,0.796218,1.12279,1,1,0,7.65831,0.429286
-7.57833,1,1.12279,1,1,0,7.91427,0.42856
-6.94078,1,1.12279,1,1,0,7.35887,0.332387
-6.95801,0.993355,1.12279,1,1,0,7.02696,0.336177
-6.74868,0.87376,1.12279,2,3,0,7.40095,0.24549
-6.77588,0.933645,1.12279,2,3,0,7.05807,0.280247
-6.8888,0.959976,1.12279,1,1,0,6.89133,0.319879
-6.87645,1,1.12279,1,1,0,6.92898,0.316608
-6.81965,1,1.12279,2,3,0,6.8748,0.299172
-6.77499,1,1.12279,1,1,0,6.80878,0.279752
-6.82629,0.820657,1.12279,2,3,0,7.44023,0.301485
-7.11398,0.951356,1.12279,2,3,0,7.12502,0.365543
-6.76388,1,1.12279,1,3,0,6.98692,0.272686
-6.78943,0.991102,1.12279,1,1,0,6.79229,0.287069
-7.15035,0.87333,1.12279,1,1,0,7.15165,0.371494
-6.77969,1,1.12279,1,1,0,7.01254,0.282301
-8.11117,0.685394,1.12279,1,3,0,8.11369,0.482154
-7.48243,1,1.12279,1,1,0,8.0974,0.41728
-6.87487,0.941779,1.12279,2,3,0,7.89957,0.190822
-6.91286,0.996665,1.12279,2,3,0,6.94149,0.183185
-6.96788,0.918222,1.12279,2,3,0,7.47924,0.338285
-6.75269,1,1.12279,1,3,0,6.89487,0.262212
-6.75666,0.99866,1.12279,1,1,0,6.75772,0.266664
-7.96396,0.705995,1.12279,1,3,0,8.39224,0.0948182
-7.10468,0.998244,1.12279,1,3,0,7.79191,0.155471
-7.10468,0.488048,1.12279,1,3,0,10.3188,0.155471
-7.57429,0.906784,1.12279,1,1,0,7.58815,0.115865
-6.75241,0.946456,1.12279,1,3,0,7.53819,0.261835
-7.10094,0.907967,1.12279,1,3,0,7.10664,0.363343
-8.37662,0.584242,1.12279,1,1,0,8.45751,0.504857
-6.87667,1,1.12279,1,1,0,7.77473,0.316666
-7.08912,0.974721,1.12279,2,3,0,7.09181,0.157298
-8.40197,0.859416,1.12279,1,3,0,8.4363,0.0773782
-8.73619,0.961706,1.12279,1,1,0,8.93521,0.0669189
-7.10426,1,1.12279,1,3,0,8.49898,0.155518
-7.33062,0.952197,1.12279,1,1,0,7.375,0.133499
-6.7522,0.927179,1.12279,2,3,0,7.73515,0.238694
-9.00178,0.551426,1.12279,2,3,0,9.75144,0.0598846
-8.30469,1,1.12279,1,1,0,9.02038,0.0808334
-7.33802,1,1.12279,1,1,0,8.13747,0.132889
-6.78656,0.924932,1.12279,2,3,0,7.97813,0.216413
-6.7901,0.999653,1.12279,2,3,0,6.80117,0.214959
-7.06801,0.930452,1.12279,2,3,0,7.26479,0.357617
-6.76259,1,1.12279,1,3,0,6.95777,0.271727
-6.76259,0.57143,1.12279,1,3,0,8.88844,0.271727
-6.92729,0.942726,1.12279,1,1,0,6.92729,0.329308
-6.81317,1,1.12279,2,3,0,6.90287,0.206786
-7.05566,0.937029,1.12279,1,1,0,7.05568,0.161418
-6.76516,0.977757,1.12279,1,3,0,7.06453,0.273607
-6.75045,1,1.12279,2,3,0,6.76533,0.241358
-7.00668,0.936578,1.12279,2,3,0,7.14079,0.168
-6.90173,1,1.12279,1,1,0,7.00385,0.185305
-6.90173,0.776067,1.12279,1,3,0,8.19211,0.185305
-7.60449,0.834916,1.12279,1,3,0,7.88831,0.431527
-7.03037,1,1.12279,1,1,0,7.44169,0.350729
-6.74994,0.812307,1.12279,2,3,0,7.70069,0.242304
-6.7486,0.824363,1.12279,2,3,0,7.65065,0.245748
-8.09268,0.693404,1.12279,1,3,0,8.14298,0.480491
-7.33076,1,1.12279,2,3,0,7.89869,0.133487
-6.75875,0.96065,1.12279,1,3,0,7.31625,0.268604
-6.74858,0.99672,1.12279,2,3,0,6.77419,0.245828
-6.95206,0.948992,1.12279,1,3,0,6.9753,0.17633
-7.327,0.972102,1.12279,2,3,0,7.33223,0.133799
-6.74802,0.930102,1.12279,2,3,0,7.63504,0.249906
-6.74802,0.644904,1.12279,1,3,0,7.81587,0.249906
-6.76125,0.796605,1.12279,2,3,0,7.76932,0.230042
